name,NGC,NCC,OC,Hindex,i10,ALIS Score for rho between 0.0 to 0.1,(Normalized)ALIS Score for rho between 0.0 to 0.1,ALIS Score for rho between 0.1to 0.99,(Normalized) ALIS Score for rho between 0.1to 0.99,Rank
A1359,0.985232,0.805907,0.96308,0.966666667,0.966666667,3.04E+50,0.9478,103368.2636,0.9481,40
A755,0.917526,0.920103,0.957474,0.733333333,0.733333333,3.04E+50,0.9479,103354.8801,0.9480,41
A1846,0.854801,0.990632,0.985948,0.6,0.6,3.03E+50,0.9456,103168.0091,0.9463,42
A8691,0.935972,0.939464,0.877765,0.866666667,0.9,3.03E+50,0.9452,103050.651,0.9452,43
A3104,0.893824,0.884074,0.978332,0.866666667,0.866666667,3.03E+50,0.9445,102987.1725,0.9446,44
A441,0.915094,0.996855,0.966981,0.4,0.466666667,2.95E+50,0.9192,102936.2566,0.9441,45
A162,0.863049,0.981912,1,0.533333333,0.533333333,3.02E+50,0.9431,102924.9299,0.9440,46
A1261,0.863497,0.953988,0.989264,0.633333333,0.666666667,3.02E+50,0.9431,102874.1355,0.9436,47
A2888,0.970183,0.817661,0.993119,0.7,0.833333333,3.02E+50,0.9426,102820.0011,0.9431,48
A1632,0.93459,0.97561,0.86918,0.566666667,0.966666667,3.02E+50,0.9426,102807.687,0.9430,49
A3141,0.973094,0.884903,0.992526,0.466666667,0.533333333,3.02E+50,0.9417,102785.9733,0.9428,50
A712,0.909317,0.976398,0.929193,0.566666667,0.633333333,3.02E+50,0.9420,102756.0295,0.9425,51
A7886,0.882675,0.960526,0.968202,0.533333333,0.7,3.02E+50,0.9417,102725.5124,0.9422,52
A5328,0.857567,0.95549,0.967359,0.733333333,0.733333333,3.02E+50,0.9421,102713.8894,0.9421,53
A3001,0.819957,0.982646,1,0.666666667,0.666666667,3.02E+50,0.9413,102691.0109,0.9419,54
A3825,0.972414,0.866667,0.993103,0.5,0.6,3.02E+50,0.9410,102684.7573,0.9418,55
A9172,0.96852,0.828961,0.934942,0.933333333,0.966666667,3.02E+50,0.9413,102640.3164,0.9414,56
A1323,0.985816,0.992908,0.992908,0.333333333,0.166666667,3.00E+50,0.9359,102591.3148,0.9410,57
A4291,0.822414,0.982759,0.993103,0.633333333,0.7,3.01E+50,0.9401,102558.7383,0.9407,58
A51,0.997735,0.885617,0.894677,0.666666667,0.766666667,3.01E+50,0.9398,102492.7594,0.9401,59
A1801,0.827957,0.996928,0.935484,0.8,0.8,3.01E+50,0.9395,102458.2199,0.9398,60
A2821,0.95894,0.943046,0.864901,0.733333333,0.766666667,3.01E+50,0.9395,102443.4693,0.9396,61
A8541,0.995204,0.880096,0.920863,0.633333333,0.633333333,3.01E+50,0.9386,102380.1172,0.9390,62
A538,0.866941,0.910837,0.958848,0.866666667,0.866666667,3.01E+50,0.9384,102316.9184,0.9385,63
A963,0.910569,0.948509,0.99729,0.466666667,0.466666667,3.01E+50,0.9401,102268.5844,0.9380,64
A9891,0.863914,0.93578,0.952599,0.766666667,0.766666667,3.00E+50,0.9362,102085.3952,0.9363,65
A9415,0.989222,0.856287,0.94491,0.466666667,0.833333333,3.00E+50,0.9355,102069.9135,0.9362,66
A794,0.899015,0.985222,0.990148,0.366666667,0.4,2.99E+50,0.9339,102039.4919,0.9359,67
A2471,0.889524,0.979048,0.897143,0.7,0.7,3.00E+50,0.9351,101978.7291,0.9354,68
A2354,0.91242,0.904459,0.985669,0.533333333,0.6,3.00E+50,0.9345,101955.1536,0.9351,69
A782,0.875223,0.950089,0.983957,0.433333333,0.666666667,2.80E+50,0.8747,101849.7031,0.9342,70
A5493,0.928571,0.840561,0.946429,0.9,0.9,2.99E+50,0.9334,101775.4714,0.9335,71
A3738,0.848896,0.977929,0.935484,0.633333333,0.766666667,2.99E+50,0.9331,101768.2285,0.9334,72
A371,0.960543,0.787916,0.992602,0.8,0.833333333,2.99E+50,0.9327,101730.8932,0.9331,73
A2569,0.979964,0.881603,0.95082,0.5,0.533333333,2.99E+50,0.9315,101719.3218,0.9330,74
A6483,0.997605,0.856287,0.978443,0.466666667,0.466666667,2.99E+50,0.9313,101679.3512,0.9326,75
A4430,0.98,0.796667,0.985,0.7,0.733333333,2.99E+50,0.9319,101655.7917,0.9324,76
A6663,0.935768,0.86272,0.916877,0.866666667,0.866666667,2.99E+50,0.9318,101593.1084,0.9318,77
A2161,0.793539,0.994382,0.973315,0.633333333,0.8,2.99E+50,0.9311,101580.6887,0.9317,78
A8330,0.977011,0.853448,0.991379,0.466666667,0.5,2.98E+50,0.9301,101532.6637,0.9313,79
A4761,0.9125,0.983333,0.954167,0.4,0.4,2.98E+50,0.9294,101519.6326,0.9312,80
A3223,0.901434,0.958781,0.976703,0.366666667,0.533333333,2.99E+50,0.9310,101487.4249,0.9309,81
A9785,0.994059,0.817822,0.992079,0.4,0.7,2.98E+50,0.9282,101335.7239,0.9295,82
A5094,0.976331,0.860947,0.964497,0.466666667,0.566666667,2.98E+50,0.9280,101284.2499,0.9290,83
A6616,0.918502,0.991189,0.854626,0.6,0.666666667,2.98E+50,0.9280,101230.4026,0.9285,84
A8235,0.801567,0.989556,0.989556,0.6,0.6,2.94E+50,0.9176,101216.0729,0.9284,85
A8318,0.944516,0.909677,0.900645,0.633333333,0.666666667,2.98E+50,0.9280,101207.2318,0.9283,86
A1047,0.988298,0.862766,0.908511,0.533333333,0.766666667,2.97E+50,0.9274,101165.4897,0.9279,87
A6718,0.920135,0.827897,0.942632,0.933333333,0.933333333,2.97E+50,0.9273,101110.786,0.9274,88
A9611,0.754821,0.988981,0.987603,0.8,0.8,2.97E+50,0.9261,101034.4431,0.9267,89
A4396,0.97065,0.91195,0.914046,0.433333333,0.566666667,2.97E+50,0.9253,100990.671,0.9263,90
A6212,0.982068,0.767932,0.984177,0.733333333,0.8,2.97E+50,0.9255,100964.588,0.9261,91
A4308,0.807971,0.931159,0.994565,0.7,0.7,2.96E+50,0.9226,100634.9571,0.9230,92
A2660,0.994801,0.77643,0.961872,0.7,0.733333333,2.96E+50,0.9219,100574.7858,0.9225,93
A3178,0.904059,0.850554,0.961255,0.733333333,0.733333333,2.96E+50,0.9217,100512.1004,0.9219,94
A7329,0.959484,0.839779,0.966851,0.533333333,0.566666667,2.95E+50,0.9203,100425.2104,0.9211,95
A4944,0.939891,0.801457,1,0.633333333,0.666666667,2.95E+50,0.9203,100396.4682,0.9209,96
A9848,0.940898,0.87234,0.964539,0.5,0.5,2.95E+50,0.9195,100355.8324,0.9205,97
A6507,0.872917,0.95625,0.920833,0.533333333,0.633333333,2.95E+50,0.9196,100324.5538,0.9202,98
A9033,0.892361,0.965278,0.909722,0.466666667,0.566666667,2.94E+50,0.9182,100199.6678,0.9190,99
A6148,0.9,0.987013,0.822078,0.733333333,0.733333333,2.94E+50,0.9183,100146.4525,0.9186,100
A6771,0.87156,0.920489,0.863405,0.933333333,0.966666667,2.94E+50,0.9179,100078.9341,0.9179,101
A2680,0.870398,0.92489,0.886598,0.8,0.833333333,2.94E+50,0.9178,100069.36,0.9179,102
A3904,0.908397,0.977099,0.935115,0.366666667,0.366666667,2.94E+50,0.9154,100033.3054,0.9175,103
A8711,0.885529,0.894168,0.961123,0.566666667,0.6,2.94E+50,0.9170,100029.3877,0.9175,104
A4790,0.985185,0.923457,0.822222,0.633333333,0.633333333,2.94E+50,0.9168,100007.0516,0.9173,105
A3186,0.850615,0.996485,0.912127,0.533333333,0.533333333,2.94E+50,0.9164,100005.3982,0.9173,106
A5462,0.864407,0.952542,0.972881,0.433333333,0.433333333,2.93E+50,0.9148,99890.31637,0.9162,107
A7322,0.903323,0.986908,0.804632,0.733333333,0.8,2.94E+50,0.9156,99861.89345,0.9159,108
A5798,0.969524,0.887619,0.942857,0.366666667,0.433333333,2.93E+50,0.9137,99805.09198,0.9154,109
A1785,0.964677,0.879415,0.82704,0.833333333,0.866666667,2.93E+50,0.9152,99798.80558,0.9154,110
A7925,0.970842,0.937365,0.771058,0.8,0.833333333,2.93E+50,0.9130,99583.1821,0.9134,111
A3279,0.851675,0.901116,0.926635,0.766666667,0.766666667,2.93E+50,0.9132,99570.58317,0.9133,112
A41,0.846561,0.908289,0.955908,0.566666667,0.733333333,2.93E+50,0.9128,99555.61606,0.9131,113
A2796,0.764706,0.984749,0.982571,0.566666667,0.666666667,2.92E+50,0.9120,99527.25504,0.9129,114
A4113,0.789744,0.991795,0.922051,0.5,0.966666667,2.92E+50,0.9121,99523.37848,0.9128,115
A5677,0.965649,0.944656,0.849237,0.466666667,0.5,2.92E+50,0.9114,99479.01896,0.9124,116
A7377,0.813296,0.973126,0.906648,0.633333333,0.8,2.92E+50,0.9115,99419.94534,0.9119,117
A9992,0.772304,0.973369,0.917443,0.866666667,0.866666667,2.92E+50,0.9115,99412.0077,0.9118,118
A3411,0.996674,0.783814,0.903548,0.633333333,0.933333333,2.92E+50,0.9113,99406.50753,0.9118,119
A3273,0.894908,0.899242,0.910076,0.533333333,0.766666667,2.92E+50,0.9113,99388.16872,0.9116,120
A7850,0.813644,0.928453,0.985025,0.5,0.666666667,2.90E+50,0.9056,99298.0066,0.9108,121
A8406,0.980249,0.830561,0.837838,0.9,0.9,2.92E+50,0.9105,99287.14978,0.9107,122
A9447,0.822581,0.934476,0.922379,0.533333333,1,2.92E+50,0.9096,99219.68545,0.9101,123
A953,0.885604,0.974293,0.85347,0.6,0.6,2.92E+50,0.9092,99181.95243,0.9097,124
A8483,0.912929,0.902375,0.936675,0.433333333,0.5,2.91E+50,0.9081,99127.86948,0.9092,125
A1016,0.876206,0.861736,0.990354,0.466666667,0.633333333,2.91E+50,0.9080,99083.04116,0.9088,126
A3202,0.86526,0.935065,0.964286,0.4,0.466666667,2.91E+50,0.9071,99047.63054,0.9085,127
A9657,0.913534,0.951128,0.992481,0.3,0.2,2.90E+50,0.9036,98990.97138,0.9080,128
A8770,0.971429,0.736054,0.995918,0.6,0.766666667,2.91E+50,0.9067,98950.51861,0.9076,129
A714,0.870813,0.889952,0.931419,0.533333333,0.766666667,2.91E+50,0.9071,98941.4069,0.9075,130
A731,0.86121,0.893238,0.982206,0.5,0.5,2.91E+50,0.9062,98903.24589,0.9072,131
A4319,0.911348,0.898936,0.882979,0.533333333,0.733333333,2.91E+50,0.9065,98869.39925,0.9068,132
A4071,0.823465,0.861842,0.991228,0.633333333,0.833333333,2.91E+50,0.9071,98785.18894,0.9061,133
A4834,0.831025,0.984765,0.854571,0.666666667,0.8,2.90E+50,0.9057,98777.51854,0.9060,134
A1296,0.954913,0.890173,0.818497,0.6,0.933333333,2.90E+50,0.9056,98771.10641,0.9059,135
A4221,0.941176,0.885449,0.900929,0.466666667,0.533333333,2.90E+50,0.9043,98683.85137,0.9051,136
A2431,0.993827,0.925926,0.799383,0.533333333,0.566666667,2.90E+50,0.9040,98653.66665,0.9049,137
A2972,0.980331,0.712215,0.944099,0.933333333,0.966666667,2.23E+50,0.6952,98631.1774,0.9047,138
A7004,0.903614,0.886747,0.918072,0.5,0.6,2.90E+50,0.9038,98598.27668,0.9044,139
A3292,0.817638,0.943199,0.889387,0.733333333,0.8,2.90E+50,0.9029,98455.50216,0.9030,140
A1113,0.917204,0.831183,0.913978,0.6,0.833333333,2.89E+50,0.9028,98443.36709,0.9029,141
A6902,0.830393,0.876526,0.932157,0.8,0.8,2.89E+50,0.9021,98379.70551,0.9024,142
A4040,0.750507,1,0.993915,0.466666667,0.5,2.89E+50,0.9007,98374.36455,0.9023,143
A12,0.912898,0.809045,0.998325,0.5,0.533333333,2.89E+50,0.9011,98356.2919,0.9021,144
A1696,0.987234,0.885106,0.987234,0.233333333,0.2,2.88E+50,0.8968,98321.29675,0.9018,145
A4269,0.919804,0.883797,0.893617,0.433333333,0.7,2.89E+50,0.9005,98257.66861,0.9012,146
A9493,0.888218,0.802115,0.963746,0.666666667,0.8,2.89E+50,0.9005,98212.05709,0.9008,147
A6475,0.842975,0.991736,0.865702,0.533333333,0.566666667,2.88E+50,0.8994,98137.6325,0.9001,148
A6675,0.874663,0.88814,0.8531,0.866666667,0.866666667,2.89E+50,0.9001,98137.47215,0.9001,149
A9176,0.843049,0.955157,0.946188,0.4,0.433333333,2.88E+50,0.8983,98106.1157,0.8998,150
A826,0.87739,0.951631,0.835771,0.5,0.866666667,2.88E+50,0.8993,98094.10796,0.8997,151
A5906,0.809249,0.936416,0.982659,0.466666667,0.466666667,2.69E+50,0.8374,98070.38141,0.8995,152
A5806,0.837181,0.968408,0.880923,0.566666667,0.6,2.88E+50,0.8990,98068.86888,0.8995,153
A3121,0.97551,0.846259,0.853061,0.533333333,0.733333333,2.88E+50,0.8989,98061.21582,0.8994,154
A2758,0.750597,0.990453,0.909308,0.7,0.833333333,2.88E+50,0.8987,98039.33198,0.8992,155
A9377,0.914747,0.83871,0.970046,0.433333333,0.5,2.88E+50,0.8979,98024.59208,0.8991,156
A1045,0.92429,0.807571,0.917981,0.666666667,0.766666667,2.88E+50,0.8987,98011.37517,0.8990,157
A5058,0.971326,0.956989,0.799283,0.466666667,0.466666667,2.88E+50,0.8976,98005.6332,0.8989,158
A6502,0.957983,0.907563,0.787115,0.7,0.733333333,2.88E+50,0.8985,97989.58328,0.8988,159
A940,0.752222,0.876667,0.997778,0.833333333,0.9,2.88E+50,0.8981,97974.0981,0.8986,160
A6745,0.81742,0.939698,0.899497,0.6,0.766666667,2.88E+50,0.8981,97951.70306,0.8984,161
A4492,0.817365,0.98503,0.934132,0.433333333,0.433333333,2.88E+50,0.8969,97948.39391,0.8984,162
A8805,0.793456,0.841513,0.994888,0.7,0.966666667,2.88E+50,0.8979,97940.71719,0.8983,163
A7051,0.813115,0.913115,0.92459,0.7,0.7,2.88E+50,0.8981,97937.83084,0.8983,164
A9305,0.82029,0.904348,0.97971,0.5,0.533333333,2.88E+50,0.8971,97897.92479,0.8979,165
A6438,0.914037,0.980413,0.727965,0.833333333,0.933333333,2.88E+50,0.8968,97835.91047,0.8974,166
A9157,0.800648,0.899514,0.970827,0.6,0.633333333,2.87E+50,0.8961,97757.39549,0.8966,167
A6142,0.972426,0.985294,0.751838,0.366666667,0.733333333,2.87E+50,0.8949,97735.75831,0.8964,168
A6228,0.902439,1,0.926829,0.266666667,0.2,2.86E+50,0.8918,97724.35128,0.8963,169
A8247,0.963636,0.954545,0.909091,0.266666667,0.2,2.86E+50,0.8917,97711.47952,0.8962,170
A4160,0.872626,0.944134,0.823464,0.666666667,0.766666667,2.87E+50,0.8959,97703.80965,0.8962,171
A4316,0.949761,0.796651,0.992823,0.4,0.433333333,2.87E+50,0.8944,97697.52104,0.8961,172
A6923,0.872214,0.869242,0.910847,0.633333333,0.666666667,2.87E+50,0.8955,97659.96266,0.8958,173
A8077,0.84994,0.969988,0.837935,0.566666667,0.733333333,2.87E+50,0.8952,97649.56213,0.8957,174
A5202,0.998888,0.888765,0.759733,0.7,0.733333333,2.87E+50,0.8945,97579.87281,0.8950,175
A6834,0.876448,0.982625,0.824324,0.5,0.6,2.87E+50,0.8938,97528.5103,0.8945,176
A8014,0.934286,0.865714,0.971429,0.333333333,0.3,2.86E+50,0.8917,97506.83368,0.8943,177
A3808,0.733978,0.939541,0.978235,0.566666667,0.866666667,2.86E+50,0.8933,97482.49932,0.8941,178
A7789,0.927586,0.784483,0.967241,0.533333333,0.6,2.86E+50,0.8932,97465.29206,0.8940,179
A1024,0.90625,0.833333,0.972222,0.433333333,0.466666667,2.86E+50,0.8922,97413.06386,0.8935,180
A9337,0.74221,0.966006,0.983003,0.533333333,0.566666667,2.86E+50,0.8920,97377.4347,0.8932,181
A2738,0.942708,0.934896,0.791667,0.566666667,0.6,2.86E+50,0.8924,97367.47448,0.8931,182
A412,0.87069,0.956897,0.841954,0.566666667,0.566666667,2.86E+50,0.8923,97348.1413,0.8929,183
A5898,0.834773,0.884449,0.903888,0.7,0.766666667,2.86E+50,0.8927,97337.42441,0.8928,184
A6147,0.905732,0.989809,0.8,0.466666667,0.533333333,2.86E+50,0.8915,97308.81006,0.8925,185
A3896,0.796053,0.886842,0.939474,0.633333333,0.866666667,2.86E+50,0.8916,97239.9067,0.8919,186
A1221,0.748899,0.939794,0.960352,0.666666667,0.666666667,2.86E+50,0.8910,97215.78911,0.8917,187
A6786,0.928401,0.739857,0.99284,0.633333333,0.633333333,2.86E+50,0.8907,97199.04362,0.8915,188
A4156,0.921409,0.733062,0.976965,0.733333333,0.766666667,2.86E+50,0.8909,97198.83286,0.8915,189
A9268,0.9375,0.927083,0.989583,0.3,0.1,2.83E+50,0.8839,97136.60422,0.8910,190
A6051,0.814493,0.805797,0.998551,0.733333333,0.8,2.85E+50,0.8902,97092.33667,0.8905,191
A9800,0.889796,0.842857,0.934694,0.466666667,0.633333333,2.85E+50,0.8898,97087.29359,0.8905,192
A2453,0.89834,1,0.977178,0.333333333,0.066666667,2.83E+50,0.8815,97085.98443,0.8905,193
A4919,0.975543,0.752717,0.980978,0.433333333,0.5,2.85E+50,0.8889,97079.62047,0.8904,194
A4373,0.878613,0.982659,0.959538,0.233333333,0.2,2.84E+50,0.8855,97073.73996,0.8904,195
A738,0.869927,0.764828,0.973985,0.733333333,0.866666667,2.85E+50,0.8893,96992.9204,0.8896,196
A6813,0.787321,0.948875,0.889571,0.7,0.7,2.85E+50,0.8890,96960.88524,0.8893,197
A8679,0.882225,0.892039,0.806979,0.833333333,0.933333333,2.85E+50,0.8892,96954.64302,0.8893,198
A322,0.68601,0.946114,0.998964,0.7,0.866666667,2.85E+50,0.8882,96950.51119,0.8892,199
A2452,0.874811,0.79638,0.932127,0.766666667,0.8,2.85E+50,0.8888,96922.28073,0.8890,200
A3583,0.85336,0.798371,0.950102,0.766666667,0.8,2.85E+50,0.8879,96828.83903,0.8881,201
A966,0.844037,0.884174,0.891055,0.633333333,0.733333333,2.85E+50,0.8877,96797.53498,0.8878,202
A3369,0.97731,0.97893,0.700162,0.666666667,0.666666667,2.85E+50,0.8886,96796.38117,0.8878,203
A2819,0.895588,0.838235,0.917647,0.566666667,0.566666667,2.85E+50,0.8873,96790.38912,0.8878,204
A5494,0.887006,0.832392,0.956685,0.4,0.6,2.74E+50,0.8536,96731.35147,0.8872,205
A4534,0.992915,0.718623,0.87753,0.833333333,0.966666667,2.84E+50,0.8863,96704.76394,0.8870,206
A8086,0.648235,1,0.972941,0.833333333,0.866666667,2.84E+50,0.8854,96688.294,0.8868,207
A9130,0.783105,0.947489,0.940639,0.5,0.533333333,2.84E+50,0.8858,96678.75134,0.8868,208
A3893,0.970655,0.708804,0.963883,0.666666667,0.666666667,2.84E+50,0.8858,96677.84199,0.8867,209
A934,0.79889,0.829404,0.975035,0.766666667,0.766666667,2.84E+50,0.8862,96653.9155,0.8865,210
A4171,0.688506,0.916092,0.988506,0.866666667,0.933333333,2.84E+50,0.8853,96616.6612,0.8862,211
A4416,0.912669,0.835178,0.874539,0.633333333,0.666666667,2.84E+50,0.8857,96593.16928,0.8860,212
A4526,0.965812,0.905983,1,0.2,0.1,2.80E+50,0.8736,96584.12297,0.8859,213
A7743,0.843389,0.849807,0.96534,0.533333333,0.533333333,2.84E+50,0.8852,96581.93735,0.8859,214
A148,0.727735,0.956743,0.917303,0.733333333,0.866666667,2.84E+50,0.8852,96573.98718,0.8858,215
A2902,0.998008,0.772908,0.896414,0.4,0.7,2.84E+50,0.8846,96573.53494,0.8858,216
A4352,0.75,0.933673,0.97449,0.566666667,0.566666667,2.84E+50,0.8847,96556.25327,0.8856,217
A1756,0.856423,0.828715,0.962217,0.566666667,0.566666667,2.84E+50,0.8849,96538.57333,0.8855,218
A7098,0.86336,0.915992,0.821862,0.666666667,0.8,2.84E+50,0.8852,96523.44844,0.8853,219
A744,0.8,0.964706,0.826471,0.8,0.8,2.84E+50,0.8850,96518.14975,0.8853,220
A1204,0.981992,0.853814,0.788136,0.633333333,0.7,2.84E+50,0.8847,96504.2014,0.8852,221
A4411,0.925134,0.860963,0.914439,0.4,0.4,2.83E+50,0.8835,96493.57962,0.8851,222
A9458,0.802649,0.847682,0.993377,0.433333333,0.8,2.84E+50,0.8842,96493.50476,0.8851,223
A3715,0.801527,0.870229,0.977099,0.566666667,0.566666667,2.84E+50,0.8843,96488.86542,0.8850,224
A7110,0.943262,0.893617,0.943262,0.3,0.2,2.82E+50,0.8810,96488.68849,0.8850,225
A8065,0.85879,0.933718,0.896254,0.366666667,0.5,2.83E+50,0.8836,96477.52808,0.8849,226
A8663,0.944785,0.883436,0.97546,0.333333333,0.133333333,2.82E+50,0.8794,96466.27116,0.8848,227
A4470,0.791622,0.880773,0.937701,0.7,0.7,2.84E+50,0.8845,96461.47394,0.8848,228
A1975,0.939759,0.927711,0.963855,0.233333333,0.133333333,2.82E+50,0.8784,96459.84769,0.8847,229
A4106,0.705044,0.904605,0.987939,0.8,0.866666667,2.83E+50,0.8839,96452.1073,0.8847,230
A4659,0.957708,0.930423,0.755798,0.533333333,0.666666667,2.83E+50,0.8839,96448.48312,0.8846,231
A2891,0.825956,0.830986,0.89336,0.966666667,0.966666667,2.84E+50,0.8846,96448.4155,0.8846,232
A2151,0.729231,0.956923,0.996923,0.5,0.5,2.83E+50,0.8832,96447.0367,0.8846,233
A9643,0.793757,0.894091,0.908584,0.733333333,0.766666667,2.84E+50,0.8844,96445.76127,0.8846,234
A5990,0.822609,0.958261,0.867826,0.433333333,0.7,2.83E+50,0.8835,96441.87516,0.8846,235
A459,0.896014,0.840555,0.859619,0.733333333,0.733333333,2.83E+50,0.8832,96422.06034,0.8844,236
A2980,0.819588,0.784536,0.945361,1,1,2.83E+50,0.8841,96417.09747,0.8844,237
A3151,0.970803,0.713504,0.970803,0.5,0.7,2.83E+50,0.8831,96406.25377,0.8843,238
A6520,0.963357,0.845154,0.813239,0.633333333,0.666666667,2.83E+50,0.8839,96385.20379,0.8841,239
A8078,0.848361,0.779713,0.977459,0.633333333,0.833333333,2.83E+50,0.8835,96368.41169,0.8839,240
A3927,0.75625,0.898958,0.908333,0.866666667,0.966666667,2.83E+50,0.8835,96356.28714,0.8838,241
A6842,0.923636,0.790909,0.923636,0.566666667,0.6,2.83E+50,0.8831,96345.44071,0.8837,242
A2692,0.762963,0.995062,0.953086,0.366666667,0.433333333,2.83E+50,0.8816,96333.36942,0.8836,243
A1444,0.992606,0.724584,0.926063,0.566666667,0.666666667,2.83E+50,0.8825,96320.69852,0.8835,244
A8414,0.91704,0.908072,0.91704,0.333333333,0.266666667,2.82E+50,0.8805,96309.27055,0.8834,245
A7466,1,0.862745,0.960784,0.2,0.166666667,2.81E+50,0.8765,96220.86568,0.8826,246
A8524,0.984227,0.649842,1,0.666666667,0.8,2.82E+50,0.8809,96209.29261,0.8824,247
A243,0.987952,0.927711,0.73494,0.566666667,0.566666667,2.83E+50,0.8811,96170.80801,0.8821,248
A1824,0.942408,0.910995,0.963351,0.2,0.166666667,2.81E+50,0.8759,96137.91809,0.8818,249
A7615,0.742353,0.988235,0.868235,0.7,0.8,2.82E+50,0.8810,96111.25065,0.8815,250
A3766,0.830952,0.816667,0.980952,0.6,0.6,2.82E+50,0.8810,96110.95996,0.8815,251
A542,0.854575,0.872549,0.915033,0.466666667,0.6,2.82E+50,0.8809,96106.71557,0.8815,252
A6859,0.926587,0.93254,0.825397,0.4,0.433333333,2.82E+50,0.8800,96092.04,0.8814,253
